sales_rep_id,customer_code,customer_name,status,province,city,barangay,coverage_day,wkly_coverage,phone,first_name,last_name,address,tin_no,latitude,longitude
DSP0003,CUST0001,SAMPLE STORE 001,Active/Approved,AURORA,BALER (CAPITAL),BARANGAY I (POB.),MON,W1,09170000001,JUAN,DELA CRUZ,001 RIZAL ST BALER AURORA,TIN-000000001,15.758100,121.560200
DSP0003,CUST0002,SAMPLE STORE 002,Active/Approved,AURORA,BALER (CAPITAL),BARANGAY II (POB.),TUE,W1,09170000002,MARIA,SANTOS,002 BONIFACIO ST BALER AURORA,TIN-000000002,15.759200,121.561500
DSP0005,CUST0003,SAMPLE STORE 003,Active/Approved,AURORA,MARIA AURORA,BARANGAY III (POB.),WED,W1,09170000003,JOSE,REYES,003 MABINI ST MARIA AURORA,TIN-000000003,15.796000,121.473000
DSP0005,CUST0004,SAMPLE STORE 004,Blocked/On hold,AURORA,MARIA AURORA,BARANGAY IV (POB.),THU,W2,09170000004,ANA,GARCIA,004 LUNA ST MARIA AURORA,TIN-000000004,15.794500,121.470100
DSP0007,CUST0005,SAMPLE STORE 005,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,ADUAS CENTRO (ADUAS),FRI,W1,09170000005,PEDRO,FLORES,005 QUEZON DIST CABANATUAN,TIN-000000005,15.486800,120.968600
DSP0007,CUST0006,SAMPLE STORE 006,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,BAGONG SIKAT,SAT,W1,09170000006,LIZA,RAMOS,006 MAGSAYSAY DIST CABANATUAN,TIN-000000006,15.485900,120.970200
DSP0011,CUST0007,SAMPLE STORE 007,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,BERNARDO DISTRICT (POB.),MON,W2,09170000007,MARK,CRUZ,007 BERNARDO DIST CABANATUAN,TIN-000000007,15.487900,120.971100
DSP0011,CUST0008,SAMPLE STORE 008,Blocked/On hold,NUEVA ECIJA,CABANATUAN CITY,KAPITAN PEPE (POB.),TUE,W4,09170000008,ROSE,TORRES,008 KAPITAN PEPE CABANATUAN,TIN-000000008,15.484700,120.973000
DSP0012,CUST0009,SAMPLE STORE 009,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SAN LORENZO (POB.),WED,W1,09170000009,PAUL,DIAZ,009 SAN LORENZO GAPAN,TIN-000000009,15.307400,120.946700
DSP0012,CUST0010,SAMPLE STORE 010,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SAN VICENTE (POB.),THU,W2,09170000010,IRIS,LOPEZ,010 SAN VICENTE GAPAN,TIN-000000010,15.305600,120.944800
DSP0014,CUST0011,SAMPLE STORE 011,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,MAHIPON,FRI,W1,09170000011,NOEL,PASCUAL,011 MAHIPON GAPAN,TIN-000000011,15.309200,120.950100
DSP0014,CUST0012,SAMPLE STORE 012,Blocked/On hold,NUEVA ECIJA,CITY OF GAPAN,BUNGO,SAT,W4,09170000012,DINA,CASTRO,012 BUNGO GAPAN,TIN-000000012,15.311500,120.952400
DSP0019,CUST0013,SAMPLE STORE 013,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,RAYMUNDO EUGENIO POB. (DISTRICT IV),MON,W1,09170000013,LEO,MENDOZA,013 DISTRICT IV SAN JOSE CITY,TIN-000000013,15.793700,120.991900
DSP0019,CUST0014,SAMPLE STORE 014,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,FERDINAND E. MARCOS POB. (DISTRICT II),TUE,W2,09170000014,JOY,BAUTISTA,014 DISTRICT II SAN JOSE CITY,TIN-000000014,15.792400,120.992700
DSP0021,CUST0015,SAMPLE STORE 015,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,SAN AGUSTIN,WED,W1,09170000015,EDGAR,VALDEZ,015 SAN AGUSTIN SAN JOSE CITY,TIN-000000015,15.790900,120.994200
DSP0021,CUST0016,SAMPLE STORE 016,Blocked/On hold,NUEVA ECIJA,SAN JOSE CITY,SANTO NIÑO 1ST,THU,W4,09170000016,KATE,VILLANUEVA,016 SANTO NINO 1ST SAN JOSE CITY,TIN-000000016,15.789100,120.995600
DSP0023,CUST0017,SAMPLE STORE 017,Active/Approved,NUEVA ECIJA,QUEZON,BARANGAY I (POB.),FRI,W2,09170000017,RYAN,HERRERA,017 POBLACION QUEZON NUEVA ECIJA,TIN-000000017,15.551600,120.812400
DSP0023,CUST0018,SAMPLE STORE 018,Active/Approved,NUEVA ECIJA,QUEZON,BARANGAY II (POB.),SAT,W2,09170000018,MAE,NAVARRO,018 POBLACION QUEZON NUEVA ECIJA,TIN-000000018,15.553000,120.814000
DSP0026,CUST0019,SAMPLE STORE 019,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),ATATE,MON,W1,09170000019,TOM,ALVAREZ,019 ATATE PALAYAN CITY,TIN-000000019,15.538900,121.084000
DSP0026,CUST0020,SAMPLE STORE 020,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),MALATE (POB.),TUE,W1,09170000020,ELLA,DOMINGO,020 MALATE PALAYAN CITY,TIN-000000020,15.541200,121.086500
DSP0003,CUST0021,SAMPLE STORE 021,Active/Approved,AURORA,BALER (CAPITAL),BARANGAY III (POB.),WED,W1,09170000021,CARLO,FERNANDEZ,021 QUEZON ST BALER AURORA,TIN-000000021,15.760100,121.562000
DSP0003,CUST0022,SAMPLE STORE 022,Blocked/On hold,AURORA,BALER (CAPITAL),BARANGAY IV (POB.),THU,W2,09170000022,NINA,AQUINO,022 MABINI ST BALER AURORA,TIN-000000022,15.761000,121.563000
DSP0005,CUST0023,SAMPLE STORE 023,Active/Approved,AURORA,MARIA AURORA,BARANGAY I (POB.),FRI,W1,09170000023,OMAR,DEL ROSARIO,023 RIZAL ST MARIA AURORA,TIN-000000023,15.797200,121.474400
DSP0005,CUST0024,SAMPLE STORE 024,Active/Approved,AURORA,MARIA AURORA,BARANGAY II (POB.),SAT,W1,09170000024,BEA,EVANGELISTA,024 LUNA ST MARIA AURORA,TIN-000000024,15.798100,121.475000
DSP0007,CUST0025,SAMPLE STORE 025,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,BALITE,MON,W2,09170000025,IVAN,GUTIERREZ,025 BALITE CABANATUAN,TIN-000000025,15.488400,120.972200
DSP0007,CUST0026,SAMPLE STORE 026,Blocked/On hold,NUEVA ECIJA,CABANATUAN CITY,BANGAD,TUE,W4,09170000026,FAYE,HERNANDEZ,026 BANGAD CABANATUAN,TIN-000000026,15.489300,120.973300
DSP0011,CUST0027,SAMPLE STORE 027,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,BARRERA DISTRICT (POB.),WED,W1,09170000027,GABE,IGNACIO,027 BARRERA DIST CABANATUAN,TIN-000000027,15.490200,120.974500
DSP0011,CUST0028,SAMPLE STORE 028,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,BONIFACIO DISTRICT (POB.),THU,W2,09170000028,HEIDI,JAVIER,028 BONIFACIO DIST CABANATUAN,TIN-000000028,15.491100,120.975100
DSP0012,CUST0029,SAMPLE STORE 029,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SAN NICOLAS,FRI,W1,09170000029,IAN,KING,029 SAN NICOLAS GAPAN,TIN-000000029,15.306900,120.947900
DSP0012,CUST0030,SAMPLE STORE 030,Blocked/On hold,NUEVA ECIJA,CITY OF GAPAN,SAN ROQUE,SAT,W4,09170000030,JESSA,LIM,030 SAN ROQUE GAPAN,TIN-000000030,15.304800,120.945700
DSP0014,CUST0031,SAMPLE STORE 031,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SANTO CRISTO NORTE,MON,W1,09170000031,KIRBY,MORALES,031 SANTO CRISTO NORTE GAPAN,TIN-000000031,15.308700,120.949400
DSP0014,CUST0032,SAMPLE STORE 032,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SANTO CRISTO SUR,TUE,W2,09170000032,LARA,NOBLEZA,032 SANTO CRISTO SUR GAPAN,TIN-000000032,15.310100,120.951200
DSP0019,CUST0033,SAMPLE STORE 033,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,SAN JUAN,WED,W1,09170000033,MILO,ORTEGA,033 SAN JUAN SAN JOSE CITY,TIN-000000033,15.791800,120.993100
DSP0019,CUST0034,SAMPLE STORE 034,Blocked/On hold,NUEVA ECIJA,SAN JOSE CITY,SAN MAURICIO,THU,W4,09170000034,NICA,PANGANIBAN,034 SAN MAURICIO SAN JOSE CITY,TIN-000000034,15.792900,120.994000
DSP0021,CUST0035,SAMPLE STORE 035,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,SANTO NIÑO 2ND,FRI,W1,09170000035,OWEN,QUIROZ,035 SANTO NINO 2ND SAN JOSE CITY,TIN-000000035,15.793500,120.995200
DSP0021,CUST0036,SAMPLE STORE 036,Active/Approved,NUEVA ECIJA,SAN JOSE CITY,SANTO TOMAS,SAT,W2,09170000036,PAM,REYES,036 SANTO TOMAS SAN JOSE CITY,TIN-000000036,15.794200,120.996100
DSP0023,CUST0037,SAMPLE STORE 037,Active/Approved,NUEVA ECIJA,QUEZON,BARANGAY III (POB.),MON,W1,09170000037,QUINN,SALAZAR,037 BARANGAY III QUEZON,TIN-000000037,15.554400,120.815300
DSP0023,CUST0038,SAMPLE STORE 038,Blocked/On hold,NUEVA ECIJA,QUEZON,BARANGAY IV (POB.),TUE,W4,09170000038,RIA,TAN,038 BARANGAY IV QUEZON,TIN-000000038,15.555500,120.816400
DSP0026,CUST0039,SAMPLE STORE 039,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),AULO,WED,W1,09170000039,SETH,UY,039 AULO PALAYAN CITY,TIN-000000039,15.539700,121.084900
DSP0026,CUST0040,SAMPLE STORE 040,Active/Approved,NUEVA ECIJA,PALAYAN CITY (CAPITAL),CABALLERO,THU,W2,09170000040,TINA,VALENCIA,040 CABALLERO PALAYAN CITY,TIN-000000040,15.540600,121.085700
DSP0003,CUST0041,SAMPLE STORE 041,Active/Approved,AURORA,BALER (CAPITAL),BARANGAY V (POB.),FRI,W1,09170000041,ULYSSES,WONG,041 BARANGAY V BALER AURORA,TIN-000000041,15.762000,121.564400
DSP0003,CUST0042,SAMPLE STORE 042,Blocked/On hold,AURORA,BALER (CAPITAL),SABANG,SAT,W4,09170000042,VERA,XAVIER,042 SABANG BALER AURORA,TIN-000000042,15.763100,121.565300
DSP0005,CUST0043,SAMPLE STORE 043,Active/Approved,AURORA,MARIA AURORA,BARANGAY III (POB.),MON,W1,09170000043,WILL,YAP,043 BARANGAY III MARIA AURORA,TIN-000000043,15.799200,121.476300
DSP0005,CUST0044,SAMPLE STORE 044,Active/Approved,AURORA,MARIA AURORA,BARANGAY IV (POB.),TUE,W2,09170000044,XENA,ZAMORA,044 BARANGAY IV MARIA AURORA,TIN-000000044,15.800300,121.477200
DSP0007,CUST0045,SAMPLE STORE 045,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,CAMPO TINIO,WED,W1,09170000045,AARON,ABAD,045 CAMPO TINIO CABANATUAN,TIN-000000045,15.492000,120.976200
DSP0007,CUST0046,SAMPLE STORE 046,Blocked/On hold,NUEVA ECIJA,CABANATUAN CITY,CITY SUPERMARKET (POB.),THU,W4,09170000046,BIANCA,BELTRAN,046 CITY SUPERMARKET CABANATUAN,TIN-000000046,15.492800,120.977100
DSP0011,CUST0047,SAMPLE STORE 047,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,GENERAL LUNA (POB.),FRI,W1,09170000047,CEDRIC,CABRERA,047 GENERAL LUNA CABANATUAN,TIN-000000047,15.493700,120.978000
DSP0011,CUST0048,SAMPLE STORE 048,Active/Approved,NUEVA ECIJA,CABANATUAN CITY,ISLA (POB.),SAT,W2,09170000048,DANICA,DAVID,048 ISLA CABANATUAN,TIN-000000048,15.494600,120.978800
DSP0012,CUST0049,SAMPLE STORE 049,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,SANTA CRUZ,MON,W1,09170000049,EMIL,ESPINOSA,049 SANTA CRUZ GAPAN,TIN-000000049,15.303700,120.944000
DSP0012,CUST0050,SAMPLE STORE 050,Blocked/On hold,NUEVA ECIJA,CITY OF GAPAN,SANTO NIÑO,TUE,W4,09170000050,FIONA,FELIX,050 SANTO NINO GAPAN,TIN-000000050,15.302900,120.943300
DSP0014,CUST0051,SAMPLE STORE 051,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,PUTING TUBIG,WED,W1,09170000051,GILBERT,GARCIA,051 PUTING TUBIG GAPAN,TIN-000000051,15.312400,120.953100
DSP0014,CUST0052,SAMPLE STORE 052,Active/Approved,NUEVA ECIJA,CITY OF GAPAN,BALANTE,THU,W2,09170000052,HANNAH,HIPOLITO,052 BALANTE GAPAN,TIN-000000052,15.313200,120.954000
